'data.frame':	1262 obs. of  4 variables:
 $ Date: Date, format: "1996-01-03" "1996-01-04" ...
 $ INTC: num  -0.01504 -0.00434 0 0.00217 -0.04662 ...
 $ MSFT: num  -0.03256 0.00574 -0.01151 -0.00146 -0.07288 ...
 $ GE  : num  0.00169 -0.01195 0.00172 0.00684 -0.00963 ...
           Date          INTC          MSFT            GE
42   1996-03-01 -0.0478955707 -0.0328290046  0.0180476624
43   1996-03-04 -0.0214011155  0.0078185698  0.0129275258
44   1996-03-05  0.0090745254  0.0192953206  0.0048079835
45   1996-03-06 -0.0391411288 -0.0115291594 -0.0048079835
46   1996-03-07 -0.0023437097  0.0032195539  0.0000000000
47   1996-03-08  0.0070297469 -0.0227408188 -0.0409509816
48   1996-03-11  0.0321868906  0.0143532947  0.0231372063
49   1996-03-12 -0.0068063243 -0.0077982027 -0.0198035846
50   1996-03-13  0.0225194272  0.0521393036 -0.0050086982
51   1996-03-14  0.0000000000 -0.0124729797  0.0066754127
52   1996-03-15  0.0478432988  0.0272333662  0.0082840998
53   1996-03-18  0.0105578088  0.0276901763  0.0276665456
54   1996-03-19 -0.0126910263  0.0153271265 -0.0096779648
55   1996-03-20 -0.0569064057 -0.0212811814  0.0016208292
56   1996-03-21  0.0067299476 -0.0377344462  0.0016182064
57   1996-03-22  0.0044663768  0.0037092266  0.0128366639
58   1996-03-25 -0.0222410083 -0.0124339910  0.0079496915
59   1996-03-26  0.0222410083  0.0283813397  0.0000000000
60   1996-03-27  0.0088733499 -0.0024399477 -0.0015848905
61   1996-03-28 -0.0044268329 -0.0024459156 -0.0079545521
62   1996-03-29  0.0088341554  0.0085230223 -0.0048079835
63   1996-04-01  0.0043879831 -0.0036371589  0.0190793934
64   1996-04-02 -0.0043879831  0.0180778709  0.0015749184
65   1996-04-03  0.0130926490 -0.0011935458  0.0093901708
66   1996-04-04  0.0278153147 -0.0011949721  0.0015577570
67   1996-04-08  0.0229454034 -0.0060040848 -0.0093754859
68   1996-04-09  0.0204051197 -0.0207004147 -0.0158290191
69   1996-04-10 -0.0020296914  0.0000000000 -0.0225774509
70   1996-04-11 -0.0214844043 -0.0049322022 -0.0131397822
71   1996-04-12 -0.0135310998  0.0000000000  0.0163999114
72   1996-04-15  0.0166400758  0.0233707925  0.0177275707
73   1996-04-16  0.0677477843  0.0166084820 -0.0064157954
74   1996-04-17 -0.0106557006  0.0065155694  0.0064157954
75   1996-04-18  0.0240531009  0.0284976407  0.0126940072
76   1996-04-19 -0.0076371866  0.0068608144 -0.0015798948
77   1996-04-22  0.0376038258  0.0269678295  0.0047322159
78   1996-04-23  0.0052921139 -0.0011145859 -0.0015749184
79   1996-04-24  0.0309487616 -0.0100373492 -0.0047319673
80   1996-04-25 -0.0089464960  0.0111519351 -0.0127421950
81   1996-04-26 -0.0053972797  0.0066263109 -0.0016052310
82   1996-04-29 -0.0163806607 -0.0077408968 -0.0032103512
83   1996-04-30 -0.0055164390  0.0055322922 -0.0048467844
84   1996-05-01  0.0018382467  0.0164225250  0.0080571356
85   1996-05-02  0.0018467007 -0.0308735099 -0.0048233373
86   1996-05-03  0.0100612165 -0.0067380030 -0.0064780881
87   1996-05-06  0.0009011487  0.0078625684 -0.0097885001
88   1996-05-07 -0.0128090660  0.0122238212 -0.0115356017
89   1996-05-08  0.0128090660  0.0098938946  0.0082567131
90   1996-05-09 -0.0018148294 -0.0065826918  0.0130673887
91   1996-05-10  0.0072629084  0.0120434848  0.0096936134
92   1996-05-13  0.0372713948  0.0321192492  0.0096005487
93   1996-05-14  0.0155593666  0.0031579222  0.0047697988
94   1996-05-15 -0.0068878727 -0.0116235955 -0.0015874064
95   1996-05-16 -0.0069356448 -0.0042598646  0.0141814697
96   1996-05-17 -0.0104831959 -0.0010660982  0.0170674971
97   1996-05-20 -0.0017654852 -0.0021356121  0.0377433881
98   1996-05-21 -0.0106130789 -0.0140215653 -0.0134199903
99   1996-05-22 -0.0053605891  0.0150899415  0.0193263072
100  1996-05-23  0.0142164075  0.0138062617 -0.0029451921
101  1996-05-24  0.0017572605  0.0000000000  0.0044181316
102  1996-05-28  0.0209052006 -0.0106079648 -0.0268285437
103  1996-05-29 -0.0156406035 -0.0010649628 -0.0060584502
104  1996-05-30  0.0017562232  0.0095576117  0.0120877472
105  1996-05-31  0.0544276831  0.0042261666 -0.0060292970
106  1996-06-03  0.0147923714 -0.0031645703  0.0015107357
107  1996-06-04 -0.0040806510 -0.0042328034  0.0119971428
108  1996-06-05  0.0073395018  0.0251321707  0.0059414088
109  1996-06-06 -0.0213588445 -0.0088280837  0.0219763909
110  1996-06-07  0.0000000000  0.0119207061 -0.0043539683
111  1996-06-10 -0.0150645963 -0.0051663292  0.0014557956
112  1996-06-11  0.0150645963  0.0123585711 -0.0161170933
113  1996-06-12  0.0197359859  0.0232702646  0.0073575179
114  1996-06-13 -0.0230653079 -0.0030061138  0.0058458619
115  1996-06-14 -0.0270302882 -0.0131232681  0.0000000000
116  1996-06-17 -0.0137885788  0.0131232681  0.0058118863
117  1996-06-18 -0.0228328933 -0.0182158883 -0.0072719330
118  1996-06-19  0.0141047982 -0.0051186878  0.0000000000
119  1996-06-20 -0.0034991119  0.0000000000  0.0000000000
120  1996-06-21  0.0034991119  0.0173015598  0.0159304227
121  1996-06-24  0.0308327757  0.0020129039  0.0043047850
122  1996-06-25 -0.0100251741 -0.0172664664  0.0042793784
123  1996-06-26 -0.0051669981 -0.0123712918 -0.0100161948
124  1996-06-27  0.0187911422 -0.0046781454  0.0071676365
125  1996-06-28 -0.0059397899  0.0015595948 -0.0086087564
126  1996-07-01  0.0227157002  0.0180504955  0.0057520606
127  1996-07-02 -0.0050011373 -0.0056408018  0.0028566958
128  1996-07-03  0.0016662460 -0.0041194771 -0.0028566958
129  1996-07-05 -0.0374148453 -0.0229621780 -0.0188022046
130  1996-07-08  0.0120587545  0.0162357769 -0.0206529941
131  1996-07-09  0.0051207215 -0.0026032752  0.0089025336
132  1996-07-10 -0.0068297938 -0.0041753714  0.0088239773
133  1996-07-11 -0.0474237748 -0.0427415484 -0.0177265109
134  1996-07-12  0.0248681478 -0.0187315504  0.0014904812
135  1996-07-15 -0.0302751343 -0.0156989771 -0.0317463547
136  1996-07-16  0.0125787822  0.0420451309 -0.0061610874
137  1996-07-17  0.0229425168  0.0150506067  0.0229164574
138  1996-07-18  0.0121424643  0.0232111686  0.0135005036
139  1996-07-19  0.0034439452  0.0092071038 -0.0210811205
140  1996-07-22 -0.0068997922 -0.0102487289 -0.0153358404
141  1996-07-23 -0.0388009297 -0.0657970399 -0.0187220324
142  1996-07-24 -0.0072236021  0.0231467981  0.0062771573
143  1996-07-25  0.0442976947  0.0321536258  0.0093462533
144  1996-07-26  0.0290340493  0.0052587225  0.0092597091
145  1996-07-29 -0.0186843671 -0.0190649842 -0.0170409034
146  1996-07-30  0.0203726427  0.0148588721  0.0015626135
147  1996-07-31  0.0100274117 -0.0063391333  0.0261752545
148  1996-08-01  0.0246581463  0.0230584640  0.0135819887
149  1996-08-02  0.0224728559  0.0225452172  0.0324502265
150  1996-08-05 -0.0079666991 -0.0132570714 -0.0029023683
151  1996-08-06  0.0221527724  0.0183085182  0.0072507699
152  1996-08-07  0.0306279424  0.0060333754 -0.0087086776
153  1996-08-08 -0.0197428681  0.0039936053 -0.0102581143
154  1996-08-09  0.0199283833 -0.0060028304 -0.0133403351
155  1996-08-12 -0.0030409277  0.0060028304  0.0148132641
156  1996-08-13 -0.0230915506 -0.0140673903  0.0000000000
157  1996-08-14  0.0185176687  0.0110736825  0.0043986660
158  1996-08-15  0.0000000000  0.0019968007 -0.0073466966
159  1996-08-16 -0.0092209363 -0.0070191936  0.0014751016
160  1996-08-19 -0.0030926373 -0.0060512896  0.0014729289
161  1996-08-20 -0.0155981843 -0.0010110372  0.0000000000
162  1996-08-21  0.0093940893  0.0010110372 -0.0118373637
163  1996-08-22  0.0336897406  0.0120725812  0.0074120524
164  1996-08-23 -0.0167079286 -0.0141021698  0.0132104967
165  1996-08-26 -0.0046019773 -0.0030423613 -0.0014600362
166  1996-08-27  0.0030736261  0.0151457349  0.0101687138
167  1996-08-28 -0.0030736261  0.0069847457 -0.0014473673
168  1996-08-29  0.0015429354 -0.0120121757 -0.0189945262
169  1996-08-30 -0.0193894062 -0.0131764811 -0.0193549738
170  1996-09-03  0.0224484481  0.0071190888  0.0119539036
171  1996-09-04  0.0076362473  0.0000000000  0.0014860513
172  1996-09-05 -0.0199588895 -0.0153158560 -0.0119433770
173  1996-09-06  0.0077206649  0.0081967672  0.0178583959
174  1996-09-09  0.0273187149  0.0192038086  0.0102731797
175  1996-09-10  0.0096808033 -0.0040120351  0.0043666328
176  1996-09-11  0.0081225183  0.0060088357  0.0000000000
177  1996-09-12  0.0043993878  0.0275880000  0.0115636772
178  1996-09-13  0.0317083681  0.0182976840  0.0156805095
179  1996-09-16  0.0056512493  0.0038095284  0.0000000000
180  1996-09-17  0.0615434007  0.0179011711 -0.0156805095
181  1996-09-18  0.0144774760  0.0194165919  0.0028718946
182  1996-09-19  0.0142791574  0.0091187372  0.0071369135
183  1996-09-20  0.0038561842  0.0027142725  0.0141228143
184  1996-09-23 -0.0168241967 -0.0027142725 -0.0070364756
185  1996-09-24  0.0077976366 -0.0063737901  0.0154167653
186  1996-09-25  0.0077455734 -0.0091773121  0.0179210115
187  1996-09-26  0.0012809866 -0.0270903271 -0.0123684136
188  1996-09-27 -0.0051421232  0.0178339647  0.0123750833
189  1996-09-30 -0.0149547379 -0.0187798664 -0.0054841199
190  1996-10-01  0.0032726644  0.0018909097 -0.0041261836
191  1996-10-02  0.0333781403  0.0196772478  0.0136971036
192  1996-10-03  0.0050401209 -0.0055843783  0.0000000000
193  1996-10-04  0.0217467657  0.0175701107  0.0175342015
194  1996-10-07  0.0260803236  0.0082140064  0.0066614004
195  1996-10-08 -0.0266974024 -0.0155737344 -0.0080003291
196  1996-10-09 -0.0074108833 -0.0064859837 -0.0053671436
197  1996-10-10 -0.0099593399 -0.0055888226 -0.0094673544
198  1996-10-11  0.0536072827  0.0249160836  0.0254895986
199  1996-10-14  0.0211222545 -0.0036529774  0.0065998332
200  1996-10-15  0.0320029664  0.0163372055  0.0026239409
201  1996-10-16  0.0134142392 -0.0063220029 -0.0026239409
202  1996-10-17 -0.0167924738 -0.0182820448  0.0013096233
203  1996-10-18 -0.0067909007 -0.0055474621  0.0000000000
204  1996-10-21 -0.0206687911 -0.0055843783  0.0065543815
205  1996-10-22 -0.0211050223 -0.0112571545 -0.0013074440
206  1996-10-23  0.0360694838  0.0149815536  0.0091100885
207  1996-10-24 -0.0172884191  0.0156742836 -0.0038968865
208  1996-10-25 -0.0199633369 -0.0013711154 -0.0026063865
209  1996-10-28  0.0059126068  0.0013711154 -0.0091633763
210  1996-10-29 -0.0154522638 -0.0091882999  0.0104674187
211  1996-10-30  0.0224985396  0.0064383151  0.0000000000
212  1996-10-31  0.0288560095  0.0073126682  0.0077824361
213  1996-11-01 -0.0102927966  0.0009147026 -0.0012939266
214  1996-11-04  0.0148352050  0.0045378166  0.0077322973
215  1996-11-05  0.0323118653  0.0250460319  0.0140214077
216  1996-11-06  0.0418762534  0.0209797905  0.0286982705
217  1996-11-07  0.0269717516 -0.0069444724  0.0110126826
218  1996-11-08  0.0010267820  0.0000000000 -0.0061005223
219  1996-11-11  0.0132011668  0.0008693085 -0.0012257798
220  1996-11-12 -0.0234835067 -0.0131365792 -0.0012272842
221  1996-11-13 -0.0124732843  0.0226659779  0.0170346288
222  1996-11-14  0.0031312600  0.0313970848  0.0131812179
223  1996-11-15 -0.0339327834 -0.0041845213 -0.0071687404
224  1996-11-18 -0.0043263313  0.0091871984 -0.0084299885
225  1996-11-19  0.0455319226  0.0359221828 -0.0036313352
226  1996-11-20  0.0010384701 -0.0169877224 -0.0024321963
227  1996-11-21 -0.0166854474 -0.0189344604 -0.0110126826
228  1996-11-22  0.0300358099  0.0008295799 -0.0061682855
229  1996-11-25 -0.0081939844  0.0197374828  0.0268626959
230  1996-11-26  0.0183510642  0.0016299413 -0.0170080299
231  1996-11-27  0.0229675106  0.0113152233  0.0048881758
232  1996-11-29  0.0019669558  0.0088048532  0.0145286444
233  1996-12-02  0.0019694208  0.0055634523 -0.0072379373
234  1996-12-03 -0.0098797317 -0.0196090237 -0.0395087217
235  1996-12-04  0.0283889707 -0.0093370487 -0.0034739795
236  1996-12-05 -0.0096976660 -0.0016300433 -0.0130359538
237  1996-12-06 -0.0201810797 -0.0008160191  0.0025597177
238  1996-12-09  0.0346925383  0.0671910881  0.0063645789
239  1996-12-10 -0.0077119849  0.0015303269 -0.0038176159
240  1996-12-11  0.0582899432  0.0181547663 -0.0115284967
241  1996-12-12  0.0000000000 -0.0289017484 -0.0025828413
242  1996-12-13 -0.0334328254 -0.0124225200  0.0000000000
243  1996-12-16 -0.0394817467 -0.0414732482 -0.0169402315
244  1996-12-17  0.0213781819  0.0399120301  0.0259448888
245  1996-12-18  0.0432823882  0.0338444610  0.0165099333
246  1996-12-19  0.0128089906  0.0268720647  0.0346561409
247  1996-12-20 -0.0211316886 -0.0148418155 -0.0048762432
248  1996-12-23 -0.0177982573  0.0014960439 -0.0123047249
249  1996-12-24  0.0242767842  0.0133457716  0.0098546660
250  1996-12-26  0.0082691750  0.0073344337  0.0121788829
251  1996-12-27 -0.0091955079 -0.0147278067 -0.0072847533
252  1996-12-30 -0.0158200261 -0.0089419374 -0.0085745050
253  1996-12-31 -0.0175044120 -0.0105367543 -0.0274320030
254  1997-01-02 -0.0043087331 -0.0121767402 -0.0127211425
255  1997-01-03  0.0595561555  0.0360942305  0.0152485290
256  1997-01-06  0.0036027294 -0.0029538483 -0.0012628948
257  1997-01-07  0.0318927405  0.0073777369  0.0199992629
258  1997-01-08 -0.0078783355 -0.0193003535 -0.0137068036
259  1997-01-09  0.0052609887 -0.0120664823  0.0149447077
260  1997-01-10  0.0104340989  0.0225041485  0.0024712206
261  1997-01-13  0.0163016337 -0.0059523985  0.0183242925
262  1997-01-14  0.0017014669  0.0192194898  0.0132287391
263  1997-01-15 -0.0354580198 -0.0088282926 -0.0168644608
264  1997-01-16  0.0026357630  0.0161199284 -0.0134612594
265  1997-01-17  0.0117868746  0.0129942773  0.0207195321
266  1997-01-20  0.0082060182  0.0407668996  0.0131870300
267  1997-01-21  0.0191774154  0.0457684185  0.0047488123
268  1997-01-22  0.0270712561  0.0246946665  0.0176141243
269  1997-01-23 -0.0024666146 -0.0273297141 -0.0307324073
270  1997-01-24 -0.0082751753  0.0124561362 -0.0218461977
271  1997-01-27 -0.0024932865  0.0019493671 -0.0148338618
272  1997-01-28  0.0058115786 -0.0052151466  0.0024896631
273  1997-01-29  0.0245319094  0.0168527819  0.0293728371
274  1997-01-30  0.0341417958  0.0390704151  0.0191209745
275  1997-01-31  0.0131822449  0.0086174157 -0.0203231031
276  1997-02-03  0.0099677529  0.0036716825  0.0167634845
277  1997-02-04  0.0053252536  0.0072954095 -0.0131496751
278  1997-02-05 -0.0465939386 -0.0471511655 -0.0084605269
279  1997-02-06 -0.0265817214 -0.0127919903  0.0096641897
280  1997-02-07  0.0210017619  0.0329184153  0.0095716864
281  1997-02-10 -0.0308452702 -0.0265019659 -0.0107753492
282  1997-02-11  0.0008270948  0.0076433493  0.0071945073
283  1997-02-12  0.0324170649  0.0138648584  0.0118750816
284  1997-02-13  0.0015892386  0.0012487794  0.0129028875
285  1997-02-14 -0.0160488411 -0.0214769883 -0.0081874709
286  1997-02-18  0.0008065083 -0.0051216396  0.0105177324
287  1997-02-19 -0.0048592886  0.0012808199  0.0000000000
288  1997-02-20 -0.0263405840 -0.0233473640 -0.0164097147
289  1997-02-21 -0.0236299014 -0.0026281224 -0.0059327088
290  1997-02-24  0.0186162271  0.0525405163  0.0141683639
291  1997-02-25 -0.0016786271 -0.0062597637 -0.0058781490
292  1997-02-26 -0.0169376000  0.0075094220  0.0023577050
293  1997-02-27 -0.0464279245 -0.0420197190 -0.0106479199
294  1997-02-28  0.0152047709  0.0142050308 -0.0216302678
295  1997-03-03  0.0277998310  0.0203052662  0.0048466652
296  1997-03-04  0.0034233226 -0.0037779819 -0.0195352360
297  1997-03-05  0.0211262063  0.0175044469  0.0219527328
298  1997-03-06 -0.0279790789 -0.0314709104  0.0096061317
299  1997-03-07 -0.0129848091 -0.0102828670  0.0071430743
300  1997-03-10  0.0086770982  0.0330398541  0.0047319384
301  1997-03-11 -0.0060632591 -0.0163814462 -0.0071092334
302  1997-03-12 -0.0078508359  0.0038026640 -0.0035707470
303  1997-03-13 -0.0105626908  0.0088197258 -0.0108011640
304  1997-03-14 -0.0241864321 -0.0062912794 -0.0060488105
305  1997-03-17 -0.0109382368  0.0150378774  0.0132605847
306  1997-03-18  0.0027443261 -0.0087465979 -0.0132605847
307  1997-03-19 -0.0249864136 -0.0292807977  0.0048466889
308  1997-03-20 -0.0009410971 -0.0077821404 -0.0084912371
309  1997-03-21 -0.0208513041 -0.0210534092  0.0012183056
310  1997-03-24  0.0009547599 -0.0420994058  0.0299561974
311  1997-03-25  0.0198965443  0.0020793946 -0.0083000037
312  1997-03-26  0.0538683472  0.0426760553 -0.0107694742
313  1997-03-27 -0.0107232080 -0.0053191615 -0.0255932189
314  1997-03-31  0.0000000000 -0.0222445183 -0.0199553715
315  1997-04-01  0.0013459846  0.0168969120 -0.0063162909
316  1997-04-02 -0.0167362808 -0.0134954815 -0.0089128701
317  1997-04-03  0.0261135042  0.0334011366  0.0063788625
318  1997-04-04  0.0306371667 -0.0099011756  0.0250919760
319  1997-04-07  0.0008648697  0.0177588076 -0.0037214645
320  1997-04-08  0.0101778963  0.0244679050  0.0074351584
321  1997-04-09 -0.0301881349 -0.0025477721  0.0061530151
322  1997-04-10 -0.0357813026 -0.0128371468 -0.0036908715
323  1997-04-11 -0.0504301464 -0.0182534403 -0.0363676442
324  1997-04-14  0.0245983642  0.0246946665  0.0214786108
325  1997-04-15 -0.0207786428 -0.0025748086  0.0283442802
326  1997-04-16  0.0226469208  0.0115185013  0.0240133680
327  1997-04-17  0.0294097971 -0.0012751129 -0.0143375395
328  1997-04-18 -0.0063608091  0.0924109666  0.0083894975
329  1997-04-21  0.0090786844  0.0000000000 -0.0035893898
330  1997-04-22  0.0179023633  0.0274931910  0.0387638765
331  1997-04-23  0.0374478659  0.0398724619 -0.0127531594
332  1997-04-24 -0.0008582133 -0.0087241709 -0.0046822981
333  1997-04-25 -0.0155136461 -0.0043907941 -0.0011740082
334  1997-04-28  0.0172238425  0.0109445294  0.0070177730
335  1997-04-29  0.0244666497  0.0352771714  0.0309871718
336  1997-04-30  0.0206155670  0.0207907697  0.0033814329
337  1997-05-01  0.0040725995 -0.0041237172 -0.0113236089
338  1997-05-02  0.0248946790 -0.0020682531  0.0302864269
339  1997-05-05  0.0304557380 -0.0046684372  0.0294012976
340  1997-05-06 -0.0280809484 -0.0242133935  0.0021401911
341  1997-05-07 -0.0135392045 -0.0155699320 -0.0085989296
342  1997-05-08  0.0182719315  0.0075489242  0.0032319560
343  1997-05-09  0.0047154760  0.0032154424  0.0032267824
344  1997-05-12 -0.0023524315  0.0117067961  0.0275122293
345  1997-05-13 -0.0433448430 -0.0031779598  0.0145100922
346  1997-05-14  0.0024565115 -0.0160499830  0.0020522091
347  1997-05-15  0.0345812095  0.0107262831  0.0183123190
348  1997-05-16 -0.0191532471 -0.0145099088 -0.0244917115
349  1997-05-19 -0.0024188579 -0.0027133669  0.0082324008
350  1997-05-20  0.0395914279  0.0341549257  0.0242933329
351  1997-05-21  0.0092729759  0.0104418485 -0.0120728975
352  1997-05-22 -0.0069479040  0.0020713700 -0.0122204354
353  1997-05-23  0.0111704765  0.0184843045  0.0061288849
354  1997-05-27  0.0368464517  0.0300591770 -0.0081818933
355  1997-05-28 -0.0130041466 -0.0059374432  0.0020530084
356  1997-05-29 -0.0203051428  0.0000000000  0.0020488022
357  1997-05-30 -0.0778487306 -0.0150093743 -0.0123461459
358  1997-06-02 -0.0116184145  0.0030212379  0.0041306638
359  1997-06-03 -0.0322375317 -0.0295805110  0.0000000000
360  1997-06-04 -0.0173886289 -0.0130235702  0.0041136716
361  1997-06-05  0.0044823428  0.0114687388 -0.0103186155
362  1997-06-06  0.0197823565  0.0286172036  0.0326584647
363  1997-06-09  0.0220154293  0.0085269744  0.0099887190
364  1997-06-10 -0.0275944755 -0.0024998293  0.0059466526
365  1997-06-11  0.0157998533  0.0173752765  0.0059114989
366  1997-06-12 -0.0264025877  0.0000000000  0.0233026143
367  1997-06-13  0.0075848355  0.0204570372  0.0152372298
368  1997-06-16  0.0171206121  0.0134132279  0.0056552049
369  1997-06-17  0.0164188088  0.0211814693  0.0000000000
370  1997-06-18 -0.0210994786 -0.0302623337 -0.0037650456
371  1997-06-19 -0.0008508934 -0.0067453050  0.0131183777
372  1997-06-20  0.0021286175  0.0043428072  0.0074228900
373  1997-06-23 -0.0106997676 -0.0140563442 -0.0319268712
374  1997-06-24  0.0191855170  0.0307568930  0.0123247436
375  1997-06-25 -0.0089078210 -0.0123795867 -0.0142365672
376  1997-06-26 -0.0206677181 -0.0169134674 -0.0038299621
377  1997-06-27 -0.0100523712 -0.0058651195  0.0028726779
378  1997-06-30 -0.0030803229 -0.0088611047 -0.0047955209
379  1997-07-01 -0.0195798918 -0.0114408473  0.0228152778
380  1997-07-02  0.0279212034  0.0271428135  0.0158553202
381  1997-07-03  0.0134572135  0.0092053922  0.0264733139
382  1997-07-07  0.0166785627 -0.0004817372  0.0071829724
383  1997-07-08  0.0151479892  0.0134230203 -0.0053812889
384  1997-07-09  0.0198556380 -0.0038167985 -0.0154098661
385  1997-07-10 -0.0165179730 -0.0067131136  0.0154098661
386  1997-07-11  0.0242653925 -0.0009644673  0.0160534428
387  1997-07-14  0.0236905056  0.0465864349  0.0052958169
388  1997-07-15  0.0270115153  0.0184490726  0.0165881288
389  1997-07-16  0.0882998873  0.0695196384  0.0247980747
390  1997-07-17 -0.0063859480  0.0071317249 -0.0110414061
391  1997-07-18 -0.0157803396 -0.0620889041 -0.0285843091
392  1997-07-21 -0.0087140108 -0.0330115319 -0.0070563051
393  1997-07-22  0.0351165636  0.0584836340  0.0175461505
394  1997-07-23  0.0063186868 -0.0188209605  0.0043377951
395  1997-07-24  0.0048865811 -0.0246049453 -0.0043377951
396  1997-07-25 -0.0062877883  0.0036166405  0.0060693461
397  1997-07-28 -0.0070356392 -0.0108893998 -0.0104260397
398  1997-07-29 -0.0049522853  0.0212156831 -0.0087707464
399  1997-07-30  0.0140867502  0.0084479963 -0.0026488827
400  1997-07-31  0.0269088067  0.0017727438 -0.0088719273
401  1997-08-01  0.0195471957 -0.0053219984 -0.0143617473
402  1997-08-04  0.0328312476  0.0066452585 -0.0164090955
403  1997-08-05  0.0299135935  0.0122862536 -0.0036863252
404  1997-08-06  0.0037524100  0.0008732346  0.0228020806
405  1997-08-07  0.0000000000  0.0034797749 -0.0154474400
406  1997-08-08 -0.0227409538 -0.0277374497 -0.0175535678
407  1997-08-11 -0.0174047973 -0.0125787822  0.0083551684
408  1997-08-12 -0.0084860910 -0.0164087547 -0.0214858028
409  1997-08-13  0.0110846995  0.0004587183  0.0084605631
410  1997-08-14 -0.0052039875  0.0013778295  0.0000000000
411  1997-08-15 -0.0398960353 -0.0250810917 -0.0518860526
412  1997-08-18  0.0261116840  0.0074976809  0.0386889146
413  1997-08-19  0.0347519510  0.0362153586  0.0075631912
414  1997-08-20  0.0261462870  0.0125281370  0.0223478067
415  1997-08-21 -0.0213687838 -0.0193025901 -0.0289618863
416  1997-08-22 -0.0224873483 -0.0045448478 -0.0162445899
417  1997-08-25 -0.0210132057 -0.0054794658 -0.0116283130
418  1997-08-26 -0.0160526762 -0.0110498362 -0.0137362889
419  1997-08-27  0.0147240391 -0.0032467465 -0.0079383371
420  1997-08-28 -0.0181006663 -0.0187534938 -0.0039904847
421  1997-08-29 -0.0027112809  0.0009475876  0.0010003343
422  1997-09-02  0.0313877116  0.0371272065  0.0563251426
423  1997-09-03 -0.0132383460 -0.0045676792  0.0121974524
424  1997-09-04  0.0086254709  0.0118305292 -0.0065476030
425  1997-09-05 -0.0006631525 -0.0063535604 -0.0047098265
426  1997-09-08  0.0144384284  0.0144602715  0.0103279344
427  1997-09-09  0.0187145647  0.0013457079 -0.0028073942
428  1997-09-10 -0.0232852714 -0.0318658054 -0.0122480265
429  1997-09-11 -0.0026224491  0.0124118485 -0.0143180514
430  1997-09-12 -0.0105548484  0.0081907646  0.0190455378
431  1997-09-15 -0.0234832624 -0.0539916666  0.0018865933
432  1997-09-16  0.0399268813  0.0426001683  0.0324252501
433  1997-09-17 -0.0016339290 -0.0236512500  0.0162755948
434  1997-09-18 -0.0068841860 -0.0070645899  0.0062592685
